ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.070    0.000 <__array_function__ internals>:177(transpose)
      171    0.000    0.000    0.069    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:601(transpose)
      171    0.002    0.000    0.068    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
        1    0.001    0.001    0.060    0.060 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:63(beam_widths)
      347    0.002    0.000    0.058    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:95(directivity)
     7934    0.041    0.000    0.057    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1348(normalize_axis_tuple)
     1121    0.009    0.000    0.051    0.000 {built-in method builtins.print}
     3263    0.006    0.000    0.040    0.000 C:\Users\Admin\PycharmProjects\Disseration\analysis_toolbox.py:80(write)
     6530    0.027    0.000    0.033    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2394    0.026    0.000    0.026    0.000 {built-in method numpy.empty}
     2808    0.006    0.000    0.014    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
      254    0.001    0.000    0.012    0.000 <__array_function__ internals>:177(expand_dims)
     7934    0.007    0.000    0.010    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1398(<listcomp>)
      254    0.004    0.000    0.010    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\shape_base.py:512(expand_dims)
     3840    0.009    0.000    0.009    0.000 {built-in method builtins.sorted}
     1404    0.002    0.000    0.009    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
     1404    0.002    0.000    0.008    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
      938    0.003    0.000    0.008    0.000 <__array_function__ internals>:177(squeeze)
     4607    0.008    0.000    0.008    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     3418    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     3267    0.003    0.000    0.006    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\encodings\cp1252.py:18(encode)
      256    0.000    0.000    0.006    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.006    0.003 C:\Users\Admin\PycharmProjects\Disseration\analysis_toolbox.py:17(log_terminal_output)
    11776    0.006    0.000    0.006    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
