ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\re.py:187(match)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:799(set_mode)
       29    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
       11    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:993(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:416(_broadcast_shape)
       48    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:72(<dictcomp>)
       28    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:165(__getitem__)
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:994(<genexpr>)
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:255(get)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:131(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\function_base.py:5032(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:166(__str__)
      3/1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:175(getwidth)
      103    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:608(_format_parsed_parts)
       29    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        8    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\re.py:269(escape)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:194(calculate_alpha)
       17    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:234(__next)
       42    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:966(_make_child_relpath)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:373(_stack_dispatcher)
        5    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:319(__str__)
      2/1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:485(_get_literal_prefix)
       19    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\enum.py:986(__and__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:211(alpha_fresh)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_methods.py:55(_any)
       12    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        9    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:600(_from_parsed_parts)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:51(normcase)
       44    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tokenize.py:327(find_cookie)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:87(isabs)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\contextlib.py:279(helper)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\contextlib.py:102(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:356(_escape)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\ufunclike.py:22(func)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\warnings.py:403(__init__)
       14    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:1878(isscalar)
       11    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:173(append)
       14    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:710(name)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\function_base.py:346(iterable)
        6    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:1231(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:865(parent)
       18    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:61(__repr__)
       14    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFCD3F83920}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\enum.py:359(__call__)
       14    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:868(_parse_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:229(set_freq)
       15    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2698(_amax_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:538(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:470(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:225(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:462(<setcomp>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        9    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:50(__str__)
        5    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:250(match)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\codecs.py:186(__init__)
       12    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:898(_none_or_positive_arg)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:542(<genexpr>)
       14    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:516(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_geometry.py:721(__str__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\codecs.py:309(__init__)
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2824(_amin_dispatcher)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_methods.py:103(_clip_dep_is_byte_swapped)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:287(tell)
       12    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:345(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\shape_base.py:458(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:447(_simple)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:161(__len__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:27(mackenzie_sos)
       10    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        6    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\project_utils.py:116(__str__)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:25(_maybe_view_as_subclass)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\analysis_toolbox.py:75(__init__)
       12    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:412(_select_from)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:477(_get_iscased)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:619(isstring)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\function_base.py:18(_linspace_dispatcher)
        8    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:389(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:94(join_parsed_parts)
        2    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:668(result_type)
        6    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\codecs.py:260(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\ufunclike.py:68(_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:35(_get_bothseps)
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:152(concatenate)
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2107(_clip_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\nanfunctions.py:231(_nanmin_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\enum.py:801(value)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:43(_is_wildcard_pattern)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\function_base.py:4887(_meshgrid_dispatcher)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of 'nt.ScandirIterator' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\codecs.py:214(setstate)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:476(_broadcast_arrays_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}




Process finished with exit code 0
